"TaxonomyID","Genome","read_count","Proportion","readsEM","EMProportion"
"176280","Staphylococcus epidermidis ATCC 12228, complete sequence",21051,0.34289483971853,19551.6,0.318471873922525
"435837","Staphylococcus hominis subsp. hominis C80 supercont1.5, whole genome shotgun sequence",19168,0.312223090956476,20667.6,0.336650160402073
"1304","Streptococcus salivarius strain NCTC 8618 chromosome, complete genome",5074,0.0826492051081574,5067.6,0.0825442122012229
"883103","Dolosigranulum pigrum ATCC 51524 supercont1.1, whole genome shotgun sequence",1472,0.0239770654156893,1470.2,0.0239474552056155
"1888195","Streptococcus himalayensis strain HTS2 chromosome, complete genome",1401,0.0228205629397967,1420.7,0.0231417040708953
"171101","Streptococcus pneumoniae R6, complete sequence",1151,0.0187483711232734,1134.9,0.0184862920582568
"169292","Corynebacterium aurimucosum strain 1237_CAUR 173_5055_550973_73_,90+,99+, whole genome shotgun sequence",1135,0.0184877508470159,1128,0.0183739905389209
"1121368","Corynebacterium pseudodiphtheriticum DSM 44287 O146DRAFT_scaffold00012.12_C, whole genome shotgun sequence",930,0.0151485535574668,957.2,0.0155920208016094
"525260","Corynebacterium accolens ATCC 49725 SCAFFOLD5, whole genome shotgun sequence",882,0.0143666927286943,861,0.0140242146684262
"398578","Delftia acidovorans SPH-1, complete sequence",753,0.0122654417513683,754.1,0.0122827687809294
"393763","Anaerobacillus alkalilacustris strain DSM 18345 Ga0137925_101, whole genome shotgun sequence",543,0.00884480062548866,525.4,0.00855756963002835
"872970","Amphibacillus marinus strain CGMCC 1.10434, whole genome shotgun sequence",543,0.00884480062548866,528.5,0.00860796917326793
"883156","Veillonella seminalis ACS-216-V-Col6b supercont1.2, whole genome shotgun sequence",394,0.00641777430284076,394,0.00641754604604828
"427920","Alkalihalobacterium alkalinitrilicum strain DSM 22532 Scaffold1, whole genome shotgun sequence",390,0.00635261923377639,386.8,0.0063012580451139
"224914","Brucella melitensis bv. 1 str. 16M chromosome I, complete sequence",300,0.00488663017982799,291.3,0.00474445566029572
"753702","Alkalibacterium subtropicum strain DSM 23664, whole genome shotgun sequence",268,0.00436538962731301,273.1,0.00444923478831865
"509190","Caulobacter segnis ATCC 21756, complete sequence",235,0.00382786030753193,229.8,0.00374261104408966
"930124","Metabacillus halosaccharovorans strain DSM 25387 Scaffold1, whole genome shotgun sequence",196,0.00319259838415429,207.8,0.00338504504892699
"262209","Janibacter melonis strain CD11-4 contig_6, whole genome shotgun sequence",188,0.00306228824602554,188.3,0.0030677667426849
"1428644","Mangrovactinospora gilvigriseus strain MUSC 26 206, whole genome shotgun sequence",183,0.00298084440969507,183.2,0.00298443298531275
"1123069","Rubellimicrobium thermophilum DSM 16684 R1_scaffold6, whole genome shotgun sequence",182,0.00296455564242898,180.9,0.00294589135929424
