genus,adj.p,p.value,statistic.t,parameter.df,conf.int1,conf.int2,estimate.mean in group neg,estimate.mean in group pos
Dolosigranulum,0.009899999999999999,9e-4,5.076,8.1141,6.2682,16.658,15.8093,4.3462
Streptococcus,0.0704,0.0064,3.3638,10.8434,16.2108,77.8946,217.0374,169.9847
Other,0.3157,0.0287,2.5255,10.7269,0.3738,5.5695,17.2954,14.3238
Escherichia,0.7414000000000001,0.0674,-2.1729,6.8086,-8.526,0.3846,5.3105,9.3812
Acinetobacter,1,0.3106,1.0944,6.8779,-12.6111,34.1967,122.3611,111.5683
Corynebacterium,1,0.3364,1.0472,5.8375,-33.0833,82.0046,355.4695,331.0088
Haemophilus,1,0.0954,1.8487,9.6314,-1.3251,13.8547,22.355,16.0903
Moraxella,1,0.4018,0.8729,10.7881,-12.1753,28.1153,59.5555,51.5855
Novosphingobium,1,0.1612,-1.5936,6.1197,-14.1547,2.9573,43.7807,49.3794
Pseudomonas,1,0.107,-2.0335,4.2933,-62.7346,8.8704,140.6821,167.6142
Staphylococcus,1,0.3851,0.936,6.0481,-23.65,53.0428,116.9606,102.2642
