genus,adj.p,p.value,statistic.t,parameter.df,conf.int1,conf.int2,estimate.mean in group neg,estimate.mean in group pos
Dolosigranulum,0.0308,0.0028,3.9371,10,3.7483,13.5222,12.2961,3.6608
Haemophilus,0.077,0.007,3.3249,10.6877,2.4653,12.2239,22.6913,15.3467
Streptococcus,0.1815,0.0165,2.8795,9.9433,6.6773,52.5186,195.2636,165.6657
Moraxella,0.2684,0.0244,2.624,10.5563,1.803,21.1796,53.5045,42.0132
Acinetobacter,1,0.6333,0.5177,3.7998,-24.4222,35.3344,121.6568,116.2007
Corynebacterium,1,0.1424,1.6189,8.38,-11.8082,68.9573,367.6976,339.123
Escherichia,1,0.2827,-1.2542,3.7259,-10.6776,4.1657,6.6989,9.9548
Novosphingobium,1,0.4232,-0.9221,3.0634,-19.4198,10.6154,41.2232,45.6254
Other,1,0.2391,1.3224,5.4207,-1.3689,4.413,17.1248,15.6028
Pseudomonas,1,0.1097,-2.1928,3.223,-84.7592,14.0126,139.046,174.4193
Staphylococcus,1,0.3744,0.959,6.0348,-16.1258,36.9596,125.479,115.0621
