genus,adj.p,p.value,statistic.t,parameter.df,conf.int1,conf.int2,estimate.mean in group neg,estimate.mean in group pos
Dolosigranulum,0.0682,0.0062,3.2762,12.6843,2.6264,12.8726,12.2961,4.5466
Haemophilus,0.0726,0.0066,3.3386,11.0693,2.541,12.3518,22.6913,15.2449
Pseudomonas,0.7502,0.0682,-2.4224,4.2989,-82.3746,4.4943,139.046,177.9862
Acinetobacter,1,0.4183,0.8593,7.0809,-10.2977,22.0978,121.6568,115.7568
Corynebacterium,1,0.5778,0.5821,7.4042,-39.0366,64.9081,367.6976,354.7618
Escherichia,1,0.221,-1.3546,6.4603,-6.634,1.8539,6.6989,9.0889
Moraxella,1,0.2257,1.268,13.8488,-4.3486,16.8959,53.5045,47.2309
Novosphingobium,1,0.31,-1.0789,8.581,-2.7447,0.981,41.2232,42.105
Other,1,0.8512,0.1979,4.7722,-4.9214,5.7299,17.1248,16.7206
Staphylococcus,1,0.2211,1.3188,8.6493,-9.7667,36.6739,125.479,112.0254
Streptococcus,1,0.6239,0.5058,10.1139,-19.6236,31.1708,195.2636,189.49
